Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
1429xxxxxxxxxx;Courbe de charge;24/10/2022;25/07/2024;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2022-10-24T00:30:00+02:00;252
2022-10-24T01:00:00+02:00;286
2022-10-24T01:30:00+02:00;214
2022-10-24T02:00:00+02:00;232
2022-10-24T02:30:00+02:00;300
2022-10-24T03:00:00+02:00;212
2022-10-24T03:30:00+02:00;230
2022-10-24T04:00:00+02:00;292
2022-10-24T04:30:00+02:00;268
2022-10-24T05:00:00+02:00;416
2022-10-24T05:30:00+02:00;370
2022-10-24T06:00:00+02:00;306
2022-10-24T06:30:00+02:00;446
2022-10-24T07:00:00+02:00;1808
2022-10-24T07:30:00+02:00;1386
2022-10-24T08:00:00+02:00;346
2022-10-24T08:30:00+02:00;244
2022-10-24T09:00:00+02:00;242
2022-10-24T09:30:00+02:00;328
2022-10-24T10:00:00+02:00;234
2022-10-24T10:30:00+02:00;210
2022-10-24T11:00:00+02:00;302
2022-10-24T11:30:00+02:00;590
2022-10-24T12:00:00+02:00;834
2022-10-24T12:30:00+02:00;434
2022-10-24T13:00:00+02:00;258
2022-10-24T13:30:00+02:00;316
2022-10-24T14:00:00+02:00;1180
2022-10-24T14:30:00+02:00;292
2022-10-24T15:00:00+02:00;314
2022-10-24T15:30:00+02:00;250
2022-10-24T16:00:00+02:00;290
2022-10-24T16:30:00+02:00;290
2022-10-24T17:00:00+02:00;336
2022-10-24T17:30:00+02:00;296
2022-10-24T18:00:00+02:00;338
2022-10-24T18:30:00+02:00;364
2022-10-24T19:00:00+02:00;338
2022-10-24T19:30:00+02:00;282
2022-10-24T20:00:00+02:00;338
2022-10-24T20:30:00+02:00;276
2022-10-24T21:00:00+02:00;276
2022-10-24T21:30:00+02:00;336
2022-10-24T22:00:00+02:00;278
2022-10-24T22:30:00+02:00;202
2022-10-24T23:00:00+02:00;326
2022-10-24T23:30:00+02:00;272
2022-10-25T00:00:00+02:00;190
2022-10-25T00:30:00+02:00;292
