Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite
1429xxxxxxxxxx;Index;09/01/2024;25/07/2024;Energie active;Consommation;Comptage Brut;Wh
Horodate;Type de releve;EAS F1;EAS F2;EAS F3;EAS F4;EAS F5;EAS F6;EAS F7;EAS F8;EAS F9;EAS F10;EAS D1;EAS D2;EAS D3;EAS D4;EAS T
2024-01-10T00:00:00+01:00;Arrêté quotidien;17424711;710732;166440;174343;55693;91908;;;;;18623827;;;;18623827
2024-01-11T00:00:00+01:00;Arrêté quotidien;17424711;710732;166440;174343;71628;117539;;;;;18665393;;;;18665393
2024-01-12T00:00:00+01:00;Arrêté quotidien;17424711;710732;166440;174343;88232;137696;;;;;18702154;;;;18702154
2024-01-13T00:00:00+01:00;Arrêté quotidien;17424711;710732;166440;174343;103836;157812;;;;;18737874;;;;18737874
2024-01-14T00:00:00+01:00;Arrêté quotidien;17424711;710732;168505;202290;116498;157812;;;;;18780548;;;;18780548
2024-01-15T00:00:00+01:00;Arrêté quotidien;17426980;736978;181678;202290;116498;157812;;;;;18822236;;;;18822236
2024-01-16T00:00:00+01:00;Arrêté quotidien;17458742;736978;181678;202290;120000;174414;;;;;18874102;;;;18874102
2024-01-17T00:00:00+01:00;Arrêté quotidien;17458742;736978;181678;202290;135722;194998;;;;;18910408;;;;18910408
2024-01-18T00:00:00+01:00;Arrêté quotidien;17458742;736978;183102;210817;146645;194998;;;;;18931282;;;;18931282
2024-01-19T00:00:00+01:00;Arrêté quotidien;17458742;736978;193178;210817;149177;210444;;;;;18959336;;;;18959336
2024-01-20T00:00:00+01:00;Arrêté quotidien;17458742;736978;193178;210817;164215;229825;;;;;18993755;;;;18993755
2024-01-21T00:00:00+01:00;Arrêté quotidien;17458742;736978;194724;231767;177152;229825;;;;;19029188;;;;19029188
2024-01-22T00:00:00+01:00;Arrêté quotidien;17459792;750251;204098;231767;177152;229825;;;;;19052885;;;;19052885
2024-01-23T00:00:00+01:00;Arrêté quotidien;17468095;760289;204098;231767;177152;229825;;;;;19071226;;;;19071226
2024-01-24T00:00:00+01:00;Arrêté quotidien;17477157;769697;204098;231767;177152;229825;;;;;19089696;;;;19089696
2024-01-25T00:00:00+01:00;Arrêté quotidien;17483858;777488;204098;231767;177152;229825;;;;;19104188;;;;19104188
2024-01-26T00:00:00+01:00;Arrêté quotidien;17490939;786706;204098;231767;177152;229825;;;;;19120487;;;;19120487
2024-01-27T00:00:00+01:00;Arrêté quotidien;17496847;786706;205914;242342;177152;229825;;;;;19138786;;;;19138786
2024-01-28T00:00:00+01:00;Arrêté quotidien;17504937;799853;215854;242342;177152;229825;;;;;19169963;;;;19169963
2024-01-29T00:00:00+01:00;Arrêté quotidien;17536509;816881;215854;242342;177152;229825;;;;;19218563;;;;19218563
2024-01-30T00:00:00+01:00;Arrêté quotidien;17542729;816881;216986;250813;177152;229825;;;;;19234386;;;;19234386
2024-01-31T00:00:00+01:00;Arrêté quotidien;17542729;816881;225239;261886;177152;229825;;;;;19253712;;;;19253712
2024-02-01T00:00:00+01:00;Arrêté quotidien;17542729;816881;234764;271710;177152;229825;;;;;19273061;;;;19273061
2024-02-02T00:00:00+01:00;Arrêté quotidien;17542729;816881;241813;280340;177152;229825;;;;;19288740;;;;19288740
2024-02-03T00:00:00+01:00;Arrêté quotidien;17542729;816881;250574;291773;177152;229825;;;;;19308934;;;;19308934
2024-02-04T00:00:00+01:00;Arrêté quotidien;17544275;829658;258001;291773;177152;229825;;;;;19330684;;;;19330684
2024-02-05T00:00:00+01:00;Arrêté quotidien;17553036;839972;258001;291773;177152;229825;;;;;19349759;;;;19349759
2024-02-06T00:00:00+01:00;Arrêté quotidien;17560820;839972;259136;300741;177152;229825;;;;;19367646;;;;19367646
2024-02-07T00:00:00+01:00;Arrêté quotidien;17561825;849280;266945;300741;177152;229825;;;;;19385768;;;;19385768
2024-02-08T00:00:00+01:00;Arrêté quotidien;17577021;857357;266945;300741;177152;229825;;;;;19409041;;;;19409041
2024-02-09T00:00:00+01:00;Arrêté quotidien;17605170;866935;266945;300741;177152;229825;;;;;19446768;;;;19446768
2024-02-10T00:00:00+01:00;Arrêté quotidien;17613469;877071;266945;300741;177152;229825;;;;;19465203;;;;19465203
2024-02-11T00:00:00+01:00;Arrêté quotidien;17620643;889575;266945;300741;177152;229825;;;;;19484881;;;;19484881
2024-02-12T00:00:00+01:00;Arrêté quotidien;17628115;900359;266945;300741;177152;229825;;;;;19503137;;;;19503137
2024-02-13T00:00:00+01:00;Arrêté quotidien;17634936;900359;266945;300741;178836;238763;;;;;19520580;;;;19520580
2024-02-14T00:00:00+01:00;Arrêté quotidien;17634936;900359;267931;312350;186514;238763;;;;;19540853;;;;19540853
2024-02-15T00:00:00+01:00;Arrêté quotidien;17635927;908682;273823;312350;186514;238763;;;;;19556059;;;;19556059
2024-02-16T00:00:00+01:00;Arrêté quotidien;17641867;917512;273823;312350;186514;238763;;;;;19570829;;;;19570829
2024-02-17T00:00:00+01:00;Arrêté quotidien;17647430;925742;273823;312350;186514;238763;;;;;19584622;;;;19584622
2024-02-18T00:00:00+01:00;Arrêté quotidien;17656153;936854;273823;312350;186514;238763;;;;;19604457;;;;19604457
2024-02-19T00:00:00+01:00;Arrêté quotidien;17662532;949747;273823;312350;186514;238763;;;;;19623729;;;;19623729
2024-02-20T00:00:00+01:00;Arrêté quotidien;17669740;949747;274851;322228;186514;238763;;;;;19641843;;;;19641843
2024-02-21T00:00:00+01:00;Arrêté quotidien;17669740;949747;282305;331761;186514;238763;;;;;19658830;;;;19658830
2024-02-22T00:00:00+01:00;Arrêté quotidien;17672406;958350;288852;331761;186514;238763;;;;;19676646;;;;19676646
2024-02-23T00:00:00+01:00;Arrêté quotidien;17680253;966843;288852;331761;186514;238763;;;;;19692986;;;;19692986
2024-02-24T00:00:00+01:00;Arrêté quotidien;17688762;966843;290125;343444;186514;238763;;;;;19714451;;;;19714451
2024-02-25T00:00:00+01:00;Arrêté quotidien;17688762;966843;300575;357344;186514;238763;;;;;19738801;;;;19738801
2024-02-26T00:00:00+01:00;Arrêté quotidien;17696669;979014;308524;357344;186514;238763;;;;;19766828;;;;19766828
2024-02-27T00:00:00+01:00;Arrêté quotidien;17725529;979014;309963;368366;186514;238763;;;;;19808149;;;;19808149
2024-02-28T00:00:00+01:00;Arrêté quotidien;17725529;979014;318773;368366;188362;249913;;;;;19829957;;;;19829957
2024-02-29T00:00:00+01:00;Arrêté quotidien;17725529;979014;318773;368366;197308;259510;;;;;19848500;;;;19848500
2024-03-01T00:00:00+01:00;Arrêté quotidien;17725529;979014;320341;377308;204099;259510;;;;;19865801;;;;19865801
2024-03-02T00:00:00+01:00;Arrêté quotidien;17726695;992435;328616;377308;204099;259510;;;;;19888663;;;;19888663
2024-03-03T00:00:00+01:00;Arrêté quotidien;17736775;1005670;328616;377308;204099;259510;;;;;19911978;;;;19911978
2024-03-04T00:00:00+01:00;Arrêté quotidien;17747004;1017871;328616;377308;204099;259510;;;;;19934408;;;;19934408
2024-03-05T00:00:00+01:00;Arrêté quotidien;17756064;1017871;328616;377308;206112;270512;;;;;19956483;;;;19956483
2024-03-06T00:00:00+01:00;Arrêté quotidien;17756064;1017871;328616;377308;216153;281965;;;;;19977977;;;;19977977
2024-03-07T00:00:00+01:00;Arrêté quotidien;17756064;1017871;328616;377308;227120;289794;;;;;19996773;;;;19996773
2024-03-08T00:00:00+01:00;Arrêté quotidien;17756064;1017871;329726;387274;235922;289794;;;;;20016651;;;;20016651
2024-03-09T00:00:00+01:00;Arrêté quotidien;17756064;1017871;337891;397875;235922;289794;;;;;20035417;;;;20035417
2024-03-10T00:00:00+01:00;Arrêté quotidien;17757710;1027346;345959;397875;235922;289794;;;;;20054606;;;;20054606
2024-03-11T00:00:00+01:00;Arrêté quotidien;17774960;1039812;345959;397875;235922;289794;;;;;20084322;;;;20084322
2024-03-12T00:00:00+01:00;Arrêté quotidien;17802955;1039812;345959;397875;236893;298736;;;;;20122230;;;;20122230
2024-03-13T00:00:00+01:00;Arrêté quotidien;17802955;1039812;345959;397875;243862;307548;;;;;20138011;;;;20138011
2024-03-14T00:00:00+01:00;Arrêté quotidien;17802955;1039812;346946;405373;248153;307548;;;;;20150787;;;;20150787
2024-03-15T00:00:00+01:00;Arrêté quotidien;17803922;1048804;354477;405373;248153;307548;;;;;20168277;;;;20168277
2024-03-16T00:00:00+01:00;Arrêté quotidien;17808206;1058101;354477;405373;248153;307548;;;;;20181858;;;;20181858
2024-03-17T00:00:00+01:00;Arrêté quotidien;17812990;1067639;354477;405373;248153;307548;;;;;20196180;;;;20196180
2024-03-18T00:00:00+01:00;Arrêté quotidien;17818573;1076842;354477;405373;248153;307548;;;;;20210966;;;;20210966
2024-03-19T00:00:00+01:00;Arrêté quotidien;17824811;1084914;354477;405373;248153;307548;;;;;20225276;;;;20225276
2024-03-20T00:00:00+01:00;Arrêté quotidien;17832432;1094730;354477;405373;248153;307548;;;;;20242713;;;;20242713
2024-03-21T00:00:00+01:00;Arrêté quotidien;17837248;1101857;354477;405373;248153;307548;;;;;20254656;;;;20254656
2024-03-22T00:00:00+01:00;Arrêté quotidien;17843620;1111240;354477;405373;248153;307548;;;;;20270411;;;;20270411
2024-03-23T00:00:00+01:00;Arrêté quotidien;17847602;1123789;354477;405373;248153;307548;;;;;20286942;;;;20286942
2024-03-24T00:00:00+01:00;Arrêté quotidien;17861795;1134555;354477;405373;248153;307548;;;;;20311901;;;;20311901
2024-03-25T00:00:00+01:00;Arrêté quotidien;17890090;1146825;354477;405373;248153;307548;;;;;20352466;;;;20352466
2024-03-26T00:00:00+01:00;Arrêté quotidien;17893867;1156690;354477;405373;248153;307548;;;;;20366108;;;;20366108
2024-03-27T00:00:00+01:00;Arrêté quotidien;17897101;1156690;355453;418561;248153;307548;;;;;20383506;;;;20383506
2024-03-28T00:00:00+01:00;Arrêté quotidien;17898127;1167495;358896;418561;248153;307548;;;;;20398780;;;;20398780
2024-03-29T00:00:00+01:00;Arrêté quotidien;17902414;1179995;358896;418561;248153;307548;;;;;20415567;;;;20415567
2024-03-30T00:00:00+01:00;Arrêté quotidien;17911667;1179995;358896;418561;249183;316835;;;;;20435137;;;;20435137
2024-03-31T00:00:00+01:00;Arrêté quotidien;17912669;1191740;358896;418561;255426;316835;;;;;20454127;;;;20454127
2024-04-01T01:00:00+02:00;Arrêté quotidien;17916743;1207544;358896;418561;255426;316835;;;;;20474005;;;;20474005
2024-04-02T01:00:00+02:00;Arrêté quotidien;17921819;1218611;358896;418561;255426;316835;;;;;20490148;;;;20490148
2024-04-03T01:00:00+02:00;Arrêté quotidien;17927326;1228571;358896;418561;255426;316835;;;;;20505615;;;;20505615
2024-04-04T01:00:00+02:00;Arrêté quotidien;17934316;1238216;358896;418561;255426;316835;;;;;20522250;;;;20522250
2024-04-05T01:00:00+02:00;Arrêté quotidien;17940314;1247405;358896;418561;255426;316835;;;;;20537437;;;;20537437
2024-04-06T01:00:00+02:00;Arrêté quotidien;17945863;1256503;358896;418561;255426;316835;;;;;20552084;;;;20552084
2024-04-07T01:00:00+02:00;Arrêté quotidien;17949286;1264128;358896;418561;255426;316835;;;;;20563132;;;;20563132
2024-04-08T01:00:00+02:00;Arrêté quotidien;17957051;1273315;358896;418561;255426;316835;;;;;20580084;;;;20580084
2024-04-09T01:00:00+02:00;Arrêté quotidien;17964196;1283130;358896;418561;255426;316835;;;;;20597044;;;;20597044
2024-04-10T01:00:00+02:00;Arrêté quotidien;17972155;1294910;358896;418561;255426;316835;;;;;20616783;;;;20616783
2024-04-11T01:00:00+02:00;Arrêté quotidien;17975935;1294910;359806;427065;255426;316835;;;;;20629977;;;;20629977
2024-04-12T01:00:00+02:00;Arrêté quotidien;17977358;1305978;364843;427065;255426;316835;;;;;20647505;;;;20647505
2024-04-13T01:00:00+02:00;Arrêté quotidien;17981393;1316728;364843;427065;255426;316835;;;;;20662290;;;;20662290
2024-04-14T01:00:00+02:00;Arrêté quotidien;17990943;1326075;364843;427065;255426;316835;;;;;20681187;;;;20681187
2024-04-15T01:00:00+02:00;Arrêté quotidien;18015127;1336690;364843;427065;255426;316835;;;;;20715986;;;;20715986
2024-04-16T01:00:00+02:00;Arrêté quotidien;18017737;1352004;364843;427065;255426;316835;;;;;20733910;;;;20733910
2024-04-17T01:00:00+02:00;Arrêté quotidien;18020252;1363407;364843;427065;255426;316835;;;;;20747828;;;;20747828
2024-04-18T01:00:00+02:00;Arrêté quotidien;18023167;1371569;364843;427065;255426;316835;;;;;20758905;;;;20758905
2024-04-19T01:00:00+02:00;Arrêté quotidien;18025009;1371569;365742;436535;255426;316835;;;;;20771116;;;;20771116
2024-04-20T01:00:00+02:00;Arrêté quotidien;18033136;1387141;367605;436535;255426;316835;;;;;20796678;;;;20796678
2024-04-21T01:00:00+02:00;Arrêté quotidien;18057379;1395730;367605;436535;255426;316835;;;;;20829510;;;;20829510
2024-04-22T01:00:00+02:00;Arrêté quotidien;18059690;1408022;367605;436535;255426;316835;;;;;20844113;;;;20844113
2024-04-23T01:00:00+02:00;Arrêté quotidien;18061708;1408022;368646;445063;255426;316835;;;;;20855700;;;;20855700
2024-04-24T01:00:00+02:00;Arrêté quotidien;18061708;1408022;371452;453979;255426;316835;;;;;20867422;;;;20867422
2024-04-25T01:00:00+02:00;Arrêté quotidien;18061708;1408022;373533;460900;255426;316835;;;;;20876424;;;;20876424
2024-04-26T01:00:00+02:00;Arrêté quotidien;18061708;1408022;376410;468786;255426;316835;;;;;20887187;;;;20887187
2024-04-27T01:00:00+02:00;Arrêté quotidien;18061708;1408022;385903;480660;255426;316835;;;;;20908554;;;;20908554
2024-04-28T01:00:00+02:00;Arrêté quotidien;18062274;1415698;408943;480660;255426;316835;;;;;20939836;;;;20939836
2024-04-29T01:00:00+02:00;Arrêté quotidien;18065269;1428607;408943;480660;255426;316835;;;;;20955740;;;;20955740
2024-04-30T01:00:00+02:00;Arrêté quotidien;18068150;1435245;408943;480660;255426;316835;;;;;20965259;;;;20965259
2024-05-01T01:00:00+02:00;Arrêté quotidien;18070508;1442204;408943;480660;255426;316835;;;;;20974576;;;;20974576
2024-05-02T01:00:00+02:00;Arrêté quotidien;18072666;1451686;408943;480660;255426;316835;;;;;20986216;;;;20986216
2024-05-03T01:00:00+02:00;Arrêté quotidien;18074909;1455580;408943;480660;255426;316835;;;;;20992353;;;;20992353
2024-05-04T01:00:00+02:00;Arrêté quotidien;18078077;1460865;408943;480660;255426;316835;;;;;21000806;;;;21000806
2024-05-05T01:00:00+02:00;Arrêté quotidien;18080718;1465428;408943;480660;255426;316835;;;;;21008010;;;;21008010
2024-05-06T01:00:00+02:00;Arrêté quotidien;18083226;1470099;408943;480660;255426;316835;;;;;21015189;;;;21015189
2024-05-07T01:00:00+02:00;Arrêté quotidien;18085924;1481172;408943;480660;255426;316835;;;;;21028960;;;;21028960
2024-05-08T01:00:00+02:00;Arrêté quotidien;18088888;1488604;408943;480660;255426;316835;;;;;21039356;;;;21039356
2024-05-09T01:00:00+02:00;Arrêté quotidien;18091465;1499030;408943;480660;255426;316835;;;;;21052359;;;;21052359
2024-05-10T01:00:00+02:00;Arrêté quotidien;18094120;1506762;408943;480660;255426;316835;;;;;21062746;;;;21062746
2024-05-11T01:00:00+02:00;Arrêté quotidien;18097362;1514075;408943;480660;255426;316835;;;;;21073301;;;;21073301
2024-05-12T01:00:00+02:00;Arrêté quotidien;18099800;1521736;408943;480660;255426;316835;;;;;21083400;;;;21083400
2024-05-13T01:00:00+02:00;Arrêté quotidien;18123643;1535114;408943;480660;255426;316835;;;;;21120621;;;;21120621
2024-05-14T01:00:00+02:00;Arrêté quotidien;18126343;1543166;408943;480660;255426;316835;;;;;21131373;;;;21131373
2024-05-15T01:00:00+02:00;Arrêté quotidien;18129064;1549642;408943;480660;255426;316835;;;;;21140570;;;;21140570
2024-05-16T01:00:00+02:00;Arrêté quotidien;18132938;1555302;408943;480660;255426;316835;;;;;21150104;;;;21150104
2024-05-17T01:00:00+02:00;Arrêté quotidien;18136477;1565392;408943;480660;255426;316835;;;;;21163733;;;;21163733
2024-05-18T01:00:00+02:00;Arrêté quotidien;18139765;1572799;408943;480660;255426;316835;;;;;21174428;;;;21174428
2024-05-19T01:00:00+02:00;Arrêté quotidien;18142127;1579988;408943;480660;255426;316835;;;;;21183979;;;;21183979
2024-05-20T01:00:00+02:00;Arrêté quotidien;18144646;1587995;408943;480660;255426;316835;;;;;21194505;;;;21194505
2024-05-21T01:00:00+02:00;Arrêté quotidien;18147139;1598605;408943;480660;255426;316835;;;;;21207608;;;;21207608
2024-05-22T01:00:00+02:00;Arrêté quotidien;18149816;1608319;408943;480660;255426;316835;;;;;21219999;;;;21219999
2024-05-23T01:00:00+02:00;Arrêté quotidien;18153071;1615197;408943;480660;255426;316835;;;;;21230132;;;;21230132
2024-05-24T01:00:00+02:00;Arrêté quotidien;18155546;1623414;408943;480660;255426;316835;;;;;21240824;;;;21240824
2024-05-25T01:00:00+02:00;Arrêté quotidien;18158152;1633721;408943;480660;255426;316835;;;;;21253737;;;;21253737
2024-05-26T01:00:00+02:00;Arrêté quotidien;18160920;1642048;408943;480660;255426;316835;;;;;21264832;;;;21264832
2024-05-27T01:00:00+02:00;Arrêté quotidien;18164171;1649397;408943;480660;255426;316835;;;;;21275432;;;;21275432
2024-05-28T01:00:00+02:00;Arrêté quotidien;18166713;1656426;408943;480660;255426;316835;;;;;21285003;;;;21285003
2024-05-29T01:00:00+02:00;Arrêté quotidien;18169473;1664039;408943;480660;255426;316835;;;;;21295376;;;;21295376
2024-05-30T01:00:00+02:00;Arrêté quotidien;18181132;1669385;408943;480660;255426;316835;;;;;21312381;;;;21312381
2024-05-31T01:00:00+02:00;Arrêté quotidien;18205234;1678436;408943;480660;255426;316835;;;;;21345534;;;;21345534
2024-06-01T01:00:00+02:00;Arrêté quotidien;18207843;1686526;408943;480660;255426;316835;;;;;21356233;;;;21356233
2024-06-02T01:00:00+02:00;Arrêté quotidien;18210396;1694224;408943;480660;255426;316835;;;;;21366484;;;;21366484
2024-06-03T01:00:00+02:00;Arrêté quotidien;18213052;1703115;408943;480660;255426;316835;;;;;21378031;;;;21378031
